id;nome;cep;endereco;
12412;REST DO BOSQUE*;88190000;RUA DOS RECANTOS, 88, GOVERNADOR CELSO RAMOS, BRASIL;
13335;PIZZAR LENHA E OLIV-;88037395;RUA VERA LINHARES DE ANDRADE, 1870, FLORIANOPOLIS, BRASIL;
14066;CONFEITARIA DA NENA;83870000;AV MIGUEL KOMARCHEWSKI, 740, CAMPO DO TENENTE, BRASIL;
16168;REST E POUSADA  BLU*;88210000;AV SENADOR ATILIO FONTANA, 0, PORTO BELO, BRASIL;
16364;RECANTO DO SALTINHO;83190000;ESTRADA DO SALTINHO, SN, TIJUCAS DO SUL, BRASIL;
16518;REST PORTO ACORES;88067200;ESTRADA JOAO BELARMINO DA SILVA, 1695, FLORIANOPOLIS, BRASIL;
16638;SR. CHURRASCO;83255000;RUA SAO LUIZ, 492, PONTAL DO PARANA, BRASIL;
17115;RIO DA PRATA ALIMENT;89239400;ROD SC 418 KM 06, 5317, JOINVILLE, BRASIL;
17284;BOTEQUIM DAS FLORES-;88051000;ROD GILSON DA COSTA XAVIER,1520, FLORIANOPOLIS, BRASIL;
17327;THE CLUB HOUSE PIZZA;82130430;R ANTONIO VIEIRA DOS SANTOS, 50, CURITIBA, BRASIL;
17720;RESTAURANTE COLISEU;84070130;RUA VISCONDE DE SINIMBU, 620, PONTA GROSSA, BRASIL;
17741;BAR DO BANANA PRAIA;89240000;RUA TEREZINA, 120, SAO FRANCISCO DO SUL, BRASIL;
17792;KLOPPEL PETISCARIA-;88828000;AV WALDEMAR CARLOS PETRINI, 5, BALNEARIO RINCAO, BRASIL;
17808;RESTAURANTE ELEGANCE;80035000;AVENIDA MUNHOZ DA ROCHA Nº 1146, CURITIBA, BRASIL;
17882;RESTAURANTE FOGAO A;83870000;R ANDRE VALENGA, 160, CAMPO DO TENENTE, BRASIL;
17948;TUFFYS BOULEVARD;89802200;RUA BENJAMIN CONSTANT LETRA D, 51, CHAPECO, BRASIL;
18098;ADEGA MARIANO;83606176;RUA JORGE DEMETRIO PAULISTA, 172, CAMPO LARGO, BRASIL;
18109;RESTAURANTE MORRO DA;88066000;RODOV. FRANCISCO THOMAZ DOS SANTOS, 2089, FLORIANOPOLIS, BRASIL;
18282;BAR DEL MAR;88139470;RUA HERCILIO NICOLAU DOS SANTOS, 10, PALHOCA, BRASIL;
18400;BOTECO DO LOKAO;83070180;SAO JORGE, 285, SAO JOSE DOS PINHAIS, BRASIL;
878;POSTO ALIANCA;89222060;RUA PIRATUBA, 17 ESQ. COM IRIRIU, JOINVILLE, BRASIL;
11700;REST POSTO ALFANDEGA;88050000;ROD. GILSON DA COSTA XAVIER, 2919, FLORIANOPOLIS, BRASIL;
12249;POSTO PLANALTO;89294000;ROD SC, 301 KM 45, CAMPO ALEGRE, BRASIL;
12731;POSTO MONTE CARLO 1;83190000;BR 376, KM 654, TIJUCAS DO SUL, BRASIL;
15513;POSTO GRANDE RIO;84600000;AV. MANOEL RIBAS, 1257, UNIAO DA VITORIA, BRASIL;
15910;RIBEIRO BEBIDAS;83604220;AV FRITZ ERWIN SCHMID, 1771, CAMPO LARGO, BRASIL;
16195;DEJAVU BEER;88060300;RUA CANDIDO PEREIRA DOS ANJOS, 2147, FLORIANOPOLIS, BRASIL;
17580;POINT CONVENIENCIA;84600130;RUA CARLOS CAVALCANTE, 420, UNIAO DA VITORIA, BRASIL;
17787;DISTRIBUIDORA BROTHE;81870370;RUA ENGENHEIRO JOAO BLEY FILHO, 669, CURITIBA, BRASIL;
17854;ROSSA MERCADO;82410210;RUA FERNANDO CORREA DE AZEVEDO, 670, CURITIBA, BRASIL;
17863;ARISUL COMERCIO DE B;84045170;RUA MAQUINISTA ELEODORO JACINTO, 65, PONTA GROSSA, BRASIL;
17959;D.R.E BEBIDAS;83212550;RUA ALZIR DOS SANTOS ANTUNES, 935, PARANAGUA, BRASIL;
