id;nome;cep;endereco;Unnamed: 4;latitude;longitude
6213;SUSIN BAR MERCEARIA;84600000;RUA COSTA CARVALHO, 188, UNIAO DA VITORIA, BRASIL;;-26.23049;-51.08661
6551;MERCADO LACO;89240000;RUA MARIAMACHADO, SN, SAO FRANCISCO DO SUL, BRASIL;;-26.2422;-48.63792
6933;SUPER NARDELLI;89160117;RUA DOM BOSCO, 1235, RIO DO SUL, BRASIL;;-27.2115787;-49.637081
7040;MERCADO DO LULA;88056750;ESTR JORNALISTA JAIME ARRUDA RAMOS, 1216, FLORIANOPOLIS, BRASIL;;-27.396534;-48.4269144
7239;MERC ACOU AVENIDA;84620000;RUA LAURO MULLER SOARES, 65, CRUZ MACHADO, BRASIL;;-26.01536;-51.34563
7261;APPELDORN ATACADO;84025000;AV GENERAL CARLOS CAVALCANTI, 4028, PONTA GROSSA, BRASIL;;-25.0926256;-50.1200809
10141;MERCADO ENGENHO NOVO;88062100;RUA: JOAO PACHECO DA COSTA, 384, FLORIANOPOLIS, BRASIL;;-27.5994403;-48.4685917
10431;MERC SUPER NORTE II;88052600;EST CRISTOVAO MACHADO DE CAMPOS, 353, FLORIANOPOLIS, BRASIL;;-27.4696602;-48.4440753
10631;SUPER DRUZIKI MATRIZ;83601010;RUA XAVIER DA SILVA, 1345, CAMPO LARGO, BRASIL;;-25.4574871;-49.5286403
10761;SUPERMER CORREIA*;88332490;R PEDRO PINTO FELIPE,79, BALNEARIO CAMBORIU, BRASIL;;-27.0187529;-48.6041763
11581;A GRANDE GULA;82940090;RUA LUIZ FRANCA 1546 LOJA 01, CURITIBA, BRASIL;;-25.4536773;-49.2181808
11720;ASSIS SUP CAMP TENEN;83870000;RUA MIGUEL KOMARCHEWSKI, 1216, CAMPO DO TENENTE, BRASIL;;-25.98084;-49.68309
11854;MERCADO FERTINE II;83535976;RUA DUQUE DE CAXIAS, 70, CAMPO MAGRO, BRASIL;;-25.2838911;-49.4401094
12315;SM PRECO BOM 2;83602230;RUA ANTONIO GABARDO JUNIOR, 535, CAMPO LARGO, BRASIL;;-25.4761151;-49.5547045
15415;SUPERMERCADO SEZINHO;89164420;RUA CLEMENTE DEMARCH, 3928, RIO DO SUL, BRASIL;;-27.2534974;-49.6925101
15641;MERCADO DICO;88108100;R. JOAO GRUMICHE, 1323, 1323, SAO JOSE, BRASIL;;-27.5925769;-48.6216953
16224;MERC COMPRE FACIL*;88051001;RODOVIA RAFAEL DA ROCHA PIRES, 2190, FLORIANOPOLIS, BRASIL;;-27.4822036;-48.5372081
16226;SUPER MARISTELA;88332005;HERMOGENES DE ASSIS FEIJO, 120, BALNEARIO CAMBORIU, BRASIL;;-27.0134251;-48.6019657
16884;MERCADO ESPACO MAIS*;88040600;RUA CAPITAO ROMUALDO DE BARROS, 916, FLORIANOPOLIS, BRASIL;;-27.6053539;-48.5300583
17035;MER E PADARIA INOVE*;88061701;ROD JORNALISTA MANOEL DE MENEZES, 3317, FLORIANOPOLIS, BRASIL;;-27.5885167;-48.4360599
17466;MERCADO DE TUDO-;88210000;AV ALMIRANTE FONSECA NEVES, 127, PORTO BELO, BRASIL;;-27.15711;-48.57559
17553;ADORATTO SUPERMERCAD;82810350;AVENIDA VICTOR FERREIRA DO AMARAL, 2633, CURITIBA, BRASIL;;-25.4292786;-49.2219818
17575;MERCADO BISS;89249000;AV DRA ZILDA ARNS NEUMAN, 537, ITAPOA, BRASIL;;-26.10919;-48.6059
17619;COMERCIO DE DOCES AN;83215270;AVENIDA GOVERNADOR BENTO MUNHOZ DA ROCHA, PARANAGUA, BRASIL;;-25.5641935;-48.5701494
17813;MERCADO ECONOMIA;87930000;AV PORTO ALEGRE, 289, QUERENCIA DO NORTE, BRASIL;;-23.08478;-53.48356
17885;MERCADO VERDE MAR;88375000;RUA BERNARDINO F DE OLIVEIRA, 242, NAVEGANTES, BRASIL;;45.60634;9.30797
17951;JEAN CARLOS BARBO;83060680;RUA AURORA, 415, SAO JOSE DOS PINHAIS, BRASIL;;-25.4873733;-49.1374448
17993;QUITANDA DA PRACA;88054605;PRACA FRANCISCO GERMANO DA COSTA, 4921, FLORIANOPOLIS, BRASIL;;-27.442453;-48.4658502
18076;COMPRE FACIL;88056750;ESTRADA JORNALISTA JAIME DE ARRUDA RAMOS, FLORIANOPOLIS, BRASIL;;-27.396534;-48.4269144
18232;ARMAZEM DA BARRA;88061500;ROD JOAO GUALBERTO SOARES K30479, 17317, FLORIANOPOLIS, BRASIL;;-27.5499544;-48.4363847
18311;MERCADO LIMA;88062100;RUA JOAO PACHECO DA COSTA, 384, FLORIANOPOLIS, BRASIL;;-27.5994403;-48.4685917
18362;PACHOLOK ALIMENTOS L;81900220;RUA PEDRO CLAUDINO DA ROCHA, 213, CURITIBA, BRASIL;;-25.5384946;-49.2794573
3613;SUP BOM DIA AVENIDA;89460000;AV RUBENS RIBEIRO DA SILVA, 465, CANOINHAS, BRASIL;;-26.17727;-50.39129
5079;SUP VITOR*;84062250;RUA DR LAUDELINO GONCALVES, 332, PONTA GROSSA, BRASIL;;-25.0832735;-50.2035165
6272;SUPER BOZA STA TEREZ;83833251;RUA RIO PIQUIRI, 713, FAZENDA RIO GRANDE, BRASIL;;45.60634;9.30797
6273;SUPER BOZA IGUACU;83833505;AV RIO AMAZONAS, 1052, FAZENDA RIO GRANDE, BRASIL;;-25.64223;-49.3225515
11468;MERCADO GARCIA*;89130000;"RUA: DOUTOR BLUMENAU; 4266; SALA 01, INDAIAL, BRASIL";;-26.89643;-49.23293
15504;SUPER GIRASSOL;88210000;AV SENADOR ATILIO FONTANA, 795, PORTO BELO, BRASIL;;-27.15711;-48.57559
17201;JUMBO ATACADISTA;81940005;ROD CURITIBA QUATRO BARRAS BR277, 600, CURITIBA, BRASIL;;-25.5550964;-49.2716766
